Subject,Sex,Age,Group,Running,Sample,Cue,Target,Acc,RT,Resp,Condition,WordType
10,female,50,Recall,Recall,45,abjure,reject,0,12480,withdraw,Study,Cue
10,female,50,Recall,Recall,46,stentorian,loud,0,14845,plant,First Word,Cue
10,female,50,Recall,Recall,47,objurgate,rebuke,0,16753,deceit,Study,Cue
10,female,50,Recall,Recall,48,trammel,impede,1,5733,impede,Study,Cue
10,female,50,Recall,Recall,49,contumacious,rebellious,0,26504,uncover,Foil,Cue
10,female,50,Recall,Recall,50,stolid,unemotional,0,9087,solid,Foil,Cue
10,female,50,Recall,Recall,51,roke,mist,0,5217,fish,Study,Cue
10,female,50,Recall,Recall,52,perpend,consider,0,6786,bestow,Meaning,Cue
10,female,50,Recall,Recall,53,spoffish,fussy,0,12458,exuberant,Foil,Cue
10,female,50,Recall,Recall,54,sodality,fellowship,0,21478,solidarity,Foil,Cue
10,female,50,Recall,Recall,55,immure,imprison,0,8991,engrose,Foil,Cue
10,female,50,Recall,Recall,56,compendious,concise,0,11594,including,Foil,Cue
10,female,50,Recall,Recall,57,stanchion,support,0,9476,reward,Meaning,Cue
10,female,50,Recall,Recall,58,inchoate,undeveloped,0,14650,legal,First Word,Cue
10,female,50,Recall,Recall,59,orotund,pompous,0,5943,obese,Foil,Cue
10,female,50,Recall,Recall,60,sententious,moralising,0,58848,legal,Study,Cue
11,female,18,Recognition,PracticeFirstWord,1,leggiadrous,elegant,0,0,,NA,NA
11,female,18,Recognition,PracticeFirstWord,2,zamindar,landlord,0,5937,magic,NA,NA
11,female,18,Recognition,PracticeFirstWord,3,droze,drip,0,3206,sleep,NA,NA
11,female,18,Recognition,First Word,1,immure,imprison,0,4504,immature,NA,NA
11,female,18,Recognition,First Word,2,minatory,threatening,0,4850,military,NA,NA
11,female,18,Recognition,First Word,3,subluxation,dislocation,0,5016,sibling,NA,NA
11,female,18,Recognition,First Word,4,compendious,concise,0,6953,thinking,NA,NA
11,female,18,Recognition,First Word,5,spoffish,fussy,0,3874,greedy,NA,NA
11,female,18,Recognition,First Word,6,effulgent,shining,0,4152,elegant,NA,NA
11,female,18,Recognition,First Word,7,spoliate,plunder,0,3547,spoil,NA,NA
11,female,18,Recognition,First Word,8,subduce,withdraw,0,7793,throwaway,NA,NA
11,female,18,Recognition,First Word,9,contumacious,rebellious,0,4827,concise,NA,NA
11,female,18,Recognition,First Word,10,burgeon,flourish,0,5739,burden,NA,NA
11,female,18,Recognition,First Word,11,intractable,unmanageable,0,6894,retract,NA,NA
11,female,18,Recognition,First Word,12,recondite,hidden,0,5488,reconcider,NA,NA
11,female,18,Recognition,First Word,13,roil,billow,0,3958,roll,NA,NA
11,female,18,Recognition,First Word,14,pertinacious,unyielding,0,5564,clever,NA,NA
11,female,18,Recognition,First Word,15,esculent,edible,0,8617,suculant,NA,NA
11,female,18,Recognition,PracticeMeaning,1,achene,fruit,0,8235,spots,NA,NA
11,female,18,Recognition,PracticeMeaning,2,desman,mole,0,4957,dead,NA,NA
11,female,18,Recognition,PracticeMeaning,3,gadoid,fish,0,6868,ill,NA,NA
11,female,18,Recognition,Meaning,1,subvention,grant,0,9883,s,NA,NA
11,female,18,Recognition,Meaning,2,trammel,impede,0,7277,trample,NA,NA
11,female,18,Recognition,Meaning,3,tyro,beginner,0,3364,go,NA,NA
11,female,18,Recognition,Meaning,4,succursal,branch,0,3682,curse,NA,NA
11,female,18,Recognition,Meaning,5,immolate,sacrifice,0,6979,wet,NA,NA
11,female,18,Recognition,Meaning,6,superate,overcome,0,8266,seperate,NA,NA
11,female,18,Recognition,Meaning,7,threnody,lament,0,0,,NA,NA
11,female,18,Recognition,Meaning,8,encomium,tribute,0,4788,unknown,NA,NA
11,female,18,Recognition,Meaning,9,renitent,resistant,0,8151,throw,NA,NA
11,female,18,Recognition,Meaning,10,inchoate,undeveloped,0,2939,choke,NA,NA
11,female,18,Recognition,Meaning,11,slake,quench,0,3900,dig,NA,NA
11,female,18,Recognition,Meaning,12,everse,overthrow,0,8200,reverse,NA,NA
11,female,18,Recognition,Meaning,13,maunder,ramble,0,8136,ponder,NA,NA
11,female,18,Recognition,Meaning,14,limpid,clear,0,8721,limp,NA,NA
11,female,18,Recognition,Meaning,15,inimical,hostile,0,4863,dumb,NA,NA
11,female,18,Recognition,PracticeStudy,1,tantivy,quick,NA,NA,NA,NA,NA
11,female,18,Recognition,PracticeStudy,2,carcanet,necklace,NA,NA,NA,NA,NA
11,female,18,Recognition,PracticeStudy,3,infandous,horrible,NA,NA,NA,NA,NA
11,female,18,Recognition,Study,1,opprobrium,disgrace,NA,NA,NA,NA,NA
11,female,18,Recognition,Study,2,frond,leaf,NA,NA,NA,NA,NA
11,female,18,Recognition,Study,3,recreant,surrendering,NA,NA,NA,NA,NA
11,female,18,Recognition,Study,4,stolid,unemotional,NA,NA,NA,NA,NA
11,female,18,Recognition,Study,5,abjure,reject,NA,NA,NA,NA,NA
11,female,18,Recognition,Study,6,perpend,consider,NA,NA,NA,NA,NA
