marker,Identifier,Score,Component,Description
ACaunt,Participant 12895718,3,3,Introduction is clear and accurate
ACaunt,Participant 12895718,3,4,Introduction gives big-picture overview
ACaunt,Participant 12895718,3,5,Introduction outlines specific research area
ACaunt,Participant 12895718,3,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895718,4,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895718,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895718,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895718,4,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895718,3,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895718,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895718,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895718,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895718,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895718,3,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895718,4,18,Discussion correctly interprets findings
ACaunt,Participant 12895718,3,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895718,3,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895718,2,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895718,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895718,3,23,Overall clarity of writing
ACaunt,Participant 12895718,3,24,Overall quality of grammar and spelling
ACaunt,Participant 12895718,3,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895718,2,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895720,3,1,Abstract is clear and accurate
ACaunt,Participant 12895720,3,2,Abstract contains correct information
ACaunt,Participant 12895720,3,3,Introduction is clear and accurate
ACaunt,Participant 12895720,4,4,Introduction gives big-picture overview
ACaunt,Participant 12895720,4,5,Introduction outlines specific research area
ACaunt,Participant 12895720,4,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895720,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895720,4,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895720,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895720,4,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895720,4,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895720,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895720,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895720,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895720,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895720,4,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895720,4,18,Discussion correctly interprets findings
ACaunt,Participant 12895720,4,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895720,3,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895720,4,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895720,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895720,3,23,Overall clarity of writing
ACaunt,Participant 12895720,3,24,Overall quality of grammar and spelling
ACaunt,Participant 12895720,4,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895720,3,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895745,2,1,Abstract is clear and accurate
ACaunt,Participant 12895745,2,2,Abstract contains correct information
ACaunt,Participant 12895745,2,3,Introduction is clear and accurate
ACaunt,Participant 12895745,3,4,Introduction gives big-picture overview
ACaunt,Participant 12895745,3,5,Introduction outlines specific research area
ACaunt,Participant 12895745,2,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895745,4,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895745,2,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895745,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895745,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895745,2,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895745,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895745,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895745,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895745,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895745,2,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895745,3,18,Discussion correctly interprets findings
ACaunt,Participant 12895745,2,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895745,2,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895745,2,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895745,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895745,2,23,Overall clarity of writing
ACaunt,Participant 12895745,2,24,Overall quality of grammar and spelling
ACaunt,Participant 12895745,2,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895745,2,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895701,4,1,Abstract is clear and accurate
ACaunt,Participant 12895701,4,2,Abstract contains correct information
ACaunt,Participant 12895701,4,3,Introduction is clear and accurate
ACaunt,Participant 12895701,4,4,Introduction gives big-picture overview
ACaunt,Participant 12895701,4,5,Introduction outlines specific research area
ACaunt,Participant 12895701,5,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895701,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895701,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895701,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895701,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895701,3,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895701,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895701,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895701,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895701,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895701,3,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895701,3,18,Discussion correctly interprets findings
ACaunt,Participant 12895701,3,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895701,3,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895701,3,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895701,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895701,3,23,Overall clarity of writing
ACaunt,Participant 12895701,3,24,Overall quality of grammar and spelling
ACaunt,Participant 12895701,3,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895701,3,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895721,4,1,Abstract is clear and accurate
ACaunt,Participant 12895721,4,2,Abstract contains correct information
ACaunt,Participant 12895721,5,3,Introduction is clear and accurate
ACaunt,Participant 12895721,5,4,Introduction gives big-picture overview
ACaunt,Participant 12895721,5,5,Introduction outlines specific research area
ACaunt,Participant 12895721,5,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895721,4,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895721,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895721,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895721,5,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895721,4,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895721,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895721,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895721,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895721,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895721,5,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895721,5,18,Discussion correctly interprets findings
ACaunt,Participant 12895721,5,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895721,5,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895721,5,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895721,5,22,Discussion concludes appropriately.
ACaunt,Participant 12895721,5,23,Overall clarity of writing
ACaunt,Participant 12895721,5,24,Overall quality of grammar and spelling
ACaunt,Participant 12895721,5,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895721,5,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895730,4,1,Abstract is clear and accurate
ACaunt,Participant 12895730,3,2,Abstract contains correct information
ACaunt,Participant 12895730,4,3,Introduction is clear and accurate
ACaunt,Participant 12895730,3,4,Introduction gives big-picture overview
ACaunt,Participant 12895730,4,5,Introduction outlines specific research area
ACaunt,Participant 12895730,3,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895730,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895730,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895730,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895730,4,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895730,3,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895730,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895730,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895730,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895730,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895730,4,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895730,3,18,Discussion correctly interprets findings
ACaunt,Participant 12895730,4,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895730,4,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895730,3,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895730,4,22,Discussion concludes appropriately.
ACaunt,Participant 12895730,3,23,Overall clarity of writing
ACaunt,Participant 12895730,4,24,Overall quality of grammar and spelling
ACaunt,Participant 12895730,3,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895730,3,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895737,3,1,Abstract is clear and accurate
ACaunt,Participant 12895737,3,2,Abstract contains correct information
ACaunt,Participant 12895737,4,3,Introduction is clear and accurate
ACaunt,Participant 12895737,4,4,Introduction gives big-picture overview
ACaunt,Participant 12895737,3,5,Introduction outlines specific research area
ACaunt,Participant 12895737,4,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895737,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895737,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895737,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895737,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895737,2,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895737,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895737,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895737,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895737,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895737,3,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895737,3,18,Discussion correctly interprets findings
ACaunt,Participant 12895737,3,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895737,3,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895737,3,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895737,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895737,3,23,Overall clarity of writing
ACaunt,Participant 12895737,4,24,Overall quality of grammar and spelling
ACaunt,Participant 12895737,4,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895737,4,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895756,3,1,Abstract is clear and accurate
ACaunt,Participant 12895756,4,2,Abstract contains correct information
ACaunt,Participant 12895756,5,3,Introduction is clear and accurate
ACaunt,Participant 12895756,5,4,Introduction gives big-picture overview
ACaunt,Participant 12895756,5,5,Introduction outlines specific research area
ACaunt,Participant 12895756,5,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895756,5,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895756,5,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895756,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895756,4,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895756,4,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895756,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895756,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895756,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895756,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895756,5,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895756,5,18,Discussion correctly interprets findings
ACaunt,Participant 12895756,5,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895756,5,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895756,5,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895756,5,22,Discussion concludes appropriately.
ACaunt,Participant 12895756,4,23,Overall clarity of writing
ACaunt,Participant 12895756,4,24,Overall quality of grammar and spelling
ACaunt,Participant 12895756,5,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895756,5,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895757,3,1,Abstract is clear and accurate
ACaunt,Participant 12895757,3,2,Abstract contains correct information
ACaunt,Participant 12895757,3,3,Introduction is clear and accurate
ACaunt,Participant 12895757,2,4,Introduction gives big-picture overview
ACaunt,Participant 12895757,2,5,Introduction outlines specific research area
ACaunt,Participant 12895757,3,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895757,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895757,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895757,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895757,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895757,3,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895757,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895757,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895757,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895757,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895757,3,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895757,3,18,Discussion correctly interprets findings
ACaunt,Participant 12895757,3,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895757,3,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895757,3,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895757,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895757,3,23,Overall clarity of writing
ACaunt,Participant 12895757,3,24,Overall quality of grammar and spelling
ACaunt,Participant 12895757,4,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895757,4,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895787,3,1,Abstract is clear and accurate
ACaunt,Participant 12895787,3,2,Abstract contains correct information
ACaunt,Participant 12895787,4,3,Introduction is clear and accurate
ACaunt,Participant 12895787,4,4,Introduction gives big-picture overview
ACaunt,Participant 12895787,4,5,Introduction outlines specific research area
ACaunt,Participant 12895787,4,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895787,4,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895787,5,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895787,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895787,4,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895787,5,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895787,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895787,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895787,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895787,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895787,4,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895787,4,18,Discussion correctly interprets findings
ACaunt,Participant 12895787,3,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895787,3,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895787,3,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895787,4,22,Discussion concludes appropriately.
ACaunt,Participant 12895787,4,23,Overall clarity of writing
ACaunt,Participant 12895787,4,24,Overall quality of grammar and spelling
ACaunt,Participant 12895787,4,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895787,4,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895798,3,1,Abstract is clear and accurate
ACaunt,Participant 12895798,3,2,Abstract contains correct information
ACaunt,Participant 12895798,3,3,Introduction is clear and accurate
ACaunt,Participant 12895798,2,4,Introduction gives big-picture overview
ACaunt,Participant 12895798,3,5,Introduction outlines specific research area
ACaunt,Participant 12895798,2,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895798,4,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895798,3,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895798,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895798,4,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895798,3,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895798,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895798,1,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895798,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895798,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895798,3,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895798,3,18,Discussion correctly interprets findings
ACaunt,Participant 12895798,3,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895798,3,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895798,2,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895798,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895798,3,23,Overall clarity of writing
ACaunt,Participant 12895798,3,24,Overall quality of grammar and spelling
ACaunt,Participant 12895798,3,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895798,3,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895805,2,1,Abstract is clear and accurate
ACaunt,Participant 12895805,2,2,Abstract contains correct information
ACaunt,Participant 12895805,2,3,Introduction is clear and accurate
ACaunt,Participant 12895805,2,4,Introduction gives big-picture overview
ACaunt,Participant 12895805,2,5,Introduction outlines specific research area
ACaunt,Participant 12895805,3,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895805,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895805,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895805,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895805,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895805,3,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895805,2,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895805,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895805,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895805,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895805,3,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895805,3,18,Discussion correctly interprets findings
ACaunt,Participant 12895805,3,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895805,3,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895805,4,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895805,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895805,3,23,Overall clarity of writing
ACaunt,Participant 12895805,2,24,Overall quality of grammar and spelling
ACaunt,Participant 12895805,3,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895805,2,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895823,4,1,Abstract is clear and accurate
ACaunt,Participant 12895823,4,2,Abstract contains correct information
ACaunt,Participant 12895823,3,3,Introduction is clear and accurate
ACaunt,Participant 12895823,3,4,Introduction gives big-picture overview
ACaunt,Participant 12895823,3,5,Introduction outlines specific research area
ACaunt,Participant 12895823,3,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895823,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895823,3,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895823,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895823,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895823,4,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895823,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895823,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895823,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895823,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895823,4,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895823,4,18,Discussion correctly interprets findings
ACaunt,Participant 12895823,2,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895823,3,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895823,2,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895823,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895823,3,23,Overall clarity of writing
ACaunt,Participant 12895823,3,24,Overall quality of grammar and spelling
ACaunt,Participant 12895823,4,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895823,4,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895834,2,1,Abstract is clear and accurate
ACaunt,Participant 12895834,3,2,Abstract contains correct information
ACaunt,Participant 12895834,3,3,Introduction is clear and accurate
ACaunt,Participant 12895834,3,4,Introduction gives big-picture overview
ACaunt,Participant 12895834,3,5,Introduction outlines specific research area
ACaunt,Participant 12895834,3,6,Introduction gives rationale for current experiment
ACaunt,Participant 12895834,3,7,"Participant section is clear, accurate, and contain correct information"
ACaunt,Participant 12895834,1,8,Sample sizes are justified through a power calculation
ACaunt,Participant 12895834,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
ACaunt,Participant 12895834,3,10,"Procedure section is clear, accurate, and contain correct information."
ACaunt,Participant 12895834,2,11,"Result section is overall clear, accurate, and contain correct information"
ACaunt,Participant 12895834,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
ACaunt,Participant 12895834,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
ACaunt,Participant 12895834,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
ACaunt,Participant 12895834,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
ACaunt,Participant 12895834,2,17,Discussion correctly and clearly summarises findings
ACaunt,Participant 12895834,2,18,Discussion correctly interprets findings
ACaunt,Participant 12895834,3,19,Discussion makes appropriate links to previous literature
ACaunt,Participant 12895834,2,20,Discussion provides good considerations of the limitations of the current study
ACaunt,Participant 12895834,3,21,"Discussion makes a good, sensible suggestion for future work"
ACaunt,Participant 12895834,3,22,Discussion concludes appropriately.
ACaunt,Participant 12895834,2,23,Overall clarity of writing
ACaunt,Participant 12895834,2,24,Overall quality of grammar and spelling
ACaunt,Participant 12895834,3,25,Correct formatting of sections and sub-sections
ACaunt,Participant 12895834,3,26,Correct usage of APA-formatted citations and references
ACaunt,Participant 12895843,3,1,Abstract is clear and accurate
ACaunt,Participant 12895843,3,2,Abstract contains correct information
ACaunt,Participant 12895843,3,3,Introduction is clear and accurate
ACaunt,Participant 12895843,3,4,Introduction gives big-picture overview
